№,Секунда,Микросекунда
1,20,357114
2,20,368033
3,20,380595
4,20,393185
5,20,404559
6,20,416424
7,20,429013
8,20,439958
9,20,452255
10,20,464892
11,20,475127
12,20,487862
13,20,500595
14,20,512171
15,20,522417
16,20,535106
17,20,546324
18,20,557179
19,20,567808
20,20,580585
21,20,593027
22,20,605812
23,20,617958
24,20,628522
25,20,641193
26,20,651670
27,20,664032
28,20,674254
29,20,685273
30,20,695762
31,20,706862
32,20,718806
33,20,731497
34,20,743685
35,20,754406
36,20,767119
37,20,779830
38,20,792569
39,20,805321
40,20,818043
41,20,830518
42,20,843090
43,20,855546
44,20,868261
45,20,880327
46,20,893087
47,20,905882
48,20,918298
49,20,929813
50,20,940828
51,20,951632
52,20,964336
53,20,974611
54,20,987200
55,20,999621
56,21,12334
57,21,23633
58,21,36351
59,21,47514
60,21,59319
61,21,71094
62,21,81268
63,21,92758
64,21,105310
65,21,115631
66,21,126132
67,21,137654
68,21,147946
69,21,160544
70,21,173263
71,21,185979
72,21,197681
73,21,209750
74,21,219972
75,21,231378
76,21,244009
77,21,255096
78,21,265935
79,21,276924
80,21,287524
81,21,298431
82,21,311144
83,21,323872
84,21,336616
85,21,349121
86,21,359683
87,21,370541
88,21,382169
89,21,394715
90,21,407426
91,21,417574
92,21,428310
93,21,439108
94,21,451853
95,21,462412
96,21,472653
97,21,483026
98,21,494439
99,21,504830
100,21,515066
101,21,525570
102,21,537202
103,21,549328
104,21,559665
105,21,571597
106,21,582068
107,21,592462
108,21,602787
109,21,613764
110,21,626476
111,21,637268
112,21,647786
113,21,660499
114,21,673230
115,21,683770
116,21,696475
117,21,709181
118,21,721917
119,21,733524
120,21,745342
121,21,758046
122,21,769956
123,21,781860
124,21,792973
125,21,804836
126,21,815785
127,21,828521
128,21,841143
129,21,851587
130,21,861848
131,21,872887
132,21,884281
133,21,895028
134,21,906088
135,21,916218
136,21,928636
137,21,941072
138,21,953732
139,21,966292
140,21,978073
141,21,988541
142,21,999616
143,22,10645
144,22,21377
145,22,31650
146,22,44043
147,22,56756
148,22,68925
149,22,81617
150,22,94338
151,22,107068
152,22,119820
153,22,132542
154,22,145305
155,22,158026
156,22,169914
157,22,180897
158,22,191887
159,22,204463
160,22,216242
161,22,228727
162,22,240920
163,22,251708
164,22,263098
165,22,273282
166,22,283936
167,22,294193
168,22,306129
169,22,316294
170,22,328356
171,22,340944
172,22,351539
173,22,364254
174,22,377008
175,22,389435
176,22,401414
177,22,411632
178,22,421874
179,22,434306
180,22,444826
181,22,457513
182,22,470235
183,22,482971
184,22,493537
185,22,506267
186,22,517470
187,22,528474
188,22,540748
189,22,552814
190,22,563454
191,22,576192
192,22,586450
193,22,599176
194,22,611889
195,22,624635
196,22,636416
197,22,647197
198,22,659955
199,22,672675
200,22,685410
201,22,697176
202,22,709170
203,22,721222
204,22,733285
205,22,745858
206,22,758602
207,22,770335
208,22,783075
209,22,795814
210,22,807518
211,22,820283
212,22,833031
213,22,845767
214,22,858528
215,22,869059
216,22,881780
217,22,894510
218,22,905190
219,22,916463
220,22,928158
221,22,940561
222,22,952975
223,22,965916
224,22,978108
225,22,990403
226,23,3116
227,23,15856
228,23,28358
229,23,40406
230,23,53137
231,23,65805
232,23,78551
233,23,90384
234,23,103102
235,23,115826
236,23,128546
237,23,140292
238,23,153006
239,23,165744
240,23,176161
241,23,187298
242,23,197537
243,23,209849
244,23,222523
245,23,234641
246,23,247339
247,23,259571
248,23,271430
249,23,282056
250,23,294779
251,23,307506
252,23,320256
253,23,331493
254,23,343703
255,23,356427
256,23,369024
257,23,379269
258,23,390140
259,23,402880
260,23,415639
261,23,428363
262,23,440044
263,23,452762
264,23,463357
265,23,476078
266,23,488795
267,23,501530
268,23,514281
269,23,527028
270,23,539739
271,23,552495
272,23,563669
273,23,576411
274,23,589038
275,23,601357
276,23,611764
277,23,624502
278,23,635679
279,23,648421
280,23,661158
281,23,673878
282,23,685625
283,23,698340
284,23,708604
285,23,719430
286,23,732197
287,23,744941
288,23,756005
289,23,768736
290,23,779588
291,23,789983
292,23,802700
293,23,815425
294,23,827667
295,23,839829
296,23,852499
297,23,865235
298,23,877660
299,23,889678
300,23,901261
